GermplasmName,Pithiness,n Pithiness,GenericGermplasmName
NC11-0373,1.2,1,NC11-0373
NC11-0375,3.5,1,NC11-0375
NC11-0379,1,1,NC11-0379
NC11-0381,1.1,2,NC11-0381
NC11-0392,1.2,1,NC11-0392
NC11-0395,2.9,2,NC11-0395
NC11-0412,2.1,2,NC11-0412
NC11-0432,1,1,NC11-0432
NC11-0441,2,1,NC11-0441
NC11-0447,2.4,1,NC11-0447
NC11-0455,2,1,NC11-0455
NC11-0467,1.5,1,NC11-0467
NC11-0473,1,1,NC11-0473
NC11-0479,2.3,2,NC11-0479
NC11-0480,2,1,NC11-0480
NC11-0493,3.1,7,NC11-0493
NC11-0494,2.7,1,NC11-0494
NC11-0505,2,1,NC11-0505
NC11-0508,0.7,1,NC11-0508
NC11-0509,3.5,1,NC11-0509
NC11-0513,1.3,1,NC11-0513
NC11-0516,1.3,1,NC11-0516
NC11-0517,0.4,1,NC11-0517
NC11-0521,1.3,1,NC11-0521
NC11-0522,0.7,2,NC11-0522
NC11-0525,0.8,1,NC11-0525
NC11-0527,1.7,1,NC11-0527
NC11-0533,1.2,1,NC11-0533
NC11-0543,1.7,1,NC11-0543
NC11-0547,2.9,2,NC11-0547
NC11-0548,1.9,2,NC11-0548
NC11-0555,3.2,1,NC11-0555
NC11-0557,1,1,NC11-0557
NC11-0571,1,1,NC11-0571
NC11-0598,3.7,3,NC11-0598
NC11-0599,2,1,NC11-0599
NC11-0601,3.7,2,NC11-0601
NC11-0602,1.1,3,NC11-0602
NC11-0609,3,2,NC11-0609
NC11-0624,3.1,4,NC11-0624
NC11-0630,3,1,NC11-0630
NC11-0632,3.4,7,NC11-0632
NC11-0641,1,6,NC11-0641
NC11-0643,1,4,NC11-0643
NC11-0655,2,5,NC11-0655
NC11-0657,1.5,1,NC11-0657
NC11-0661,3.2,1,NC11-0661
NC11-0668,1,1,NC11-0668
NC11-0686,2,1,NC11-0686
NC11-0688,2.7,4,NC11-0688
NC11-0692,2,1,NC11-0692
NC11-0714,1.6,3,NC11-0714
NC11-0716,1,1,NC11-0716
NC11-0720,1.3,2,NC11-0720
NC11-0721,2,1,NC11-0721
NC11-0723,1.8,2,NC11-0723
NC11-0725,2,1,NC11-0725
NC11-0730,3.4,7,NC11-0730
NC11-0738,1.1,2,NC11-0738
NC11-0741,1.2,2,NC11-0741
NC11-0747,1.8,1,NC11-0747
NC11-0752,1.5,1,NC11-0752
NC11-0756,2,1,NC11-0756
NC11-0757,1.3,1,NC11-0757
NC11-0761,2.1,3,NC11-0761
NC11-0762,1.7,1,NC11-0762
NC11-0777,0.5,1,NC11-0777
NC11-0779,1.9,3,NC11-0779
NC11-0786,2,2,NC11-0786
NC11-0790,0.8,1,NC11-0790
NC11-0797,2.2,3,NC11-0797
NC11-0805,2.2,7,NC11-0805
NC11-0821,1.5,1,NC11-0821
NC11-0824,2.8,1,NC11-0824
NC11-0825,2.5,5,NC11-0825
NC11-0856,2.9,2,NC11-0856
NC11-0863,2.1,5,NC11-0863
NC11-0870,0.5,1,NC11-0870
NC11-0878,1.5,1,NC11-0878
NC11-0897,1.5,1,NC11-0897
NC11-0899,3.7,1,NC11-0899
NC11-0901,2,1,NC11-0901
NC11-0903,2,1,NC11-0903
NC11-0924,2,1,NC11-0924
NC11-0925,2.2,2,NC11-0925
NC11-0956,1.9,2,NC11-0956
NC11-0957,1.7,2,NC11-0957
NC11-0959,1.8,6,NC11-0959
NC11-0960,2,1,NC11-0960
NC11-0964,2,1,NC11-0964
NC11-0965,1.2,1,NC11-0965
NC11-0967,1.8,1,NC11-0967
