Code,Maternal,Paternal
890,146-1,0439-006
891,146-1,Sulfur
892,152-9,146-1
893,152-9,Pink Frost
894,187-1,NA
895,187-1,434
896,187-1,562
897,187-1,C1P199050
898,187-1,Pink Frost
899,218,NA
900,218,321-1
901,218,364-2
902,218,384-1
903,218,434 var
904,218,L84-74
905,218,Pink Frost
906,253,439-5
907,274-1,NA
908,274-1,146-1
909,274-1,434 var
910,274-1,439-5
911,274-1,439-10
912,274-1,636
913,274-1,643-3
914,274-1,690
915,274-1,710
916,274-1,C1P199050
917,274-1,CN1367-2
918,305-1,NA
919,305-1,327-1
920,308-1,598
921,308-1,CIP199050
922,317,NA
923,317,73-1
924,317,98-069
925,317,125-1
926,317,136-4
927,317,218
928,317,434
929,317,CIPI99050
930,317,DW8
931,317,Pink Frost
932,319-2,NA
933,319-2,323
934,319-2,CIP199050
935,321,218
936,321-1,99
937,321-1,434 var
938,321-1,547-1
939,321-1,707-2
940,321-1,CIP199050
941,321-1,Pink Frost
942,323,NA
943,323,30-1
944,323,319-2
945,323,547
946,323,Pink Frost
947,324-2,Pink Frost
948,327-2,308-1
949,327-3,Pink Frost
950,337-1,146-1
951,337-1,710
952,338-1,136-5
953,338-1,364-2
954,340,0439-006
955,345-1,30-1
956,345-1,73-1
957,345-1,99
958,345-1,323
959,345-1,327-1
960,345-1,434
961,345-1,484
962,345-1,DW8
963,345-1,Pink Frost
964,345-1,SXBR7-14
965,359,Pink Frost
966,364-2,138-1
967,364-2,146-1
968,364-2,434 var
969,364-2,439-10
970,371-1,NA
971,371-1,73-1
972,371-1,434
973,371-1,439-5
974,371-1,CIP199050
975,371-1,CIP199050-3
976,371-1,CIP199062
977,376-1,90-1
978,376-1,305-1
979,376-1,727-1
980,376-1,Pink Frost
981,382-1,NA
982,382-1,136-3
983,382-1,146-1
984,382-1,152-8
985,382-1,384-1
986,382-1,434
987,382-1,Pink Frost
988,384-1,NA
989,384-1,126-1
990,384-1,218
991,384-1,434G
992,384-1,434 var
993,384-1,629-2
994,384-1,CIPI99050
995,391-1,Pink Frost
996,391-2,218
997,391-2,462
998,391-2,645
999,391-2,707-2
1000,391-2,CIP199050
1001,391-2,Sulfur
1002,391-2,Terrace Lime
1003,394-2,Pink Frost
1004,395-2,462
1005,419,NA
1006,419,138-1
1007,419,146-1
1008,419,705-1
1009,419,NA
1010,419,710
1011,419-2,146-1
1012,419-2,163-1
1013,420-1,337-1
1014,420-4,138-1
1015,427,675
1016,427-1,146-1
1017,427-1,BRONZE 133
1018,427-2,NA
1019,427-2,136-3
1020,427-2,136-5
1021,427-2,152-8
1022,427-2,337-1
1023,427-2,675
1024,427-2,727-2
1025,427-2,735-3
1026,427-2,BR133
1027,427-2,Pink Frost
